ID,DOY,Lat,Lon,Ices,Sea.Area,Shell.height,mass,C:N,d13C,L,d13Cc,d15N,Depth,Stratification,SST,BT,PP,Sal,Distance,year
1,212,49.39,-0.286,VIId,English.Channel,52.48,34.83,4.49,-17.59,23.05099508,-15.21827607,8.55,20,0.9,11.8,11.7,0.2,34,17.4,2001
2,212,49.394,-0.763,VIId,English.Channel,51.96,27.41,4.27,-17.07,20.0828433,-14.94315831,8.12,22,1.3,11.8,11.7,0.2,34,38.9,2001
3,NA,49.395,-0.711,VIId,English.Channel,48,NA,3.873499538,-17.73,14.044648,-16.11623296,8.93,NA,NA,NA,NA,NA,NA,NA,2010
4,NA,49.395,-0.711,VIId,English.Channel,51,NA,3.746031746,-16.61,11.88524318,-15.18475345,8.87,NA,NA,NA,NA,NA,NA,NA,2010
5,NA,49.395,-0.711,VIId,English.Channel,51,NA,3.171212121,-16.97,0.473567107,-16.58804794,7.88,NA,NA,NA,NA,NA,NA,NA,2010
6,NA,49.418,-0.624,VIId,English.Channel,50,NA,3.456431535,-16.98,6.511073037,-16.03597195,8.63,NA,NA,NA,NA,NA,NA,NA,2010
7,NA,49.418,-0.624,VIId,English.Channel,52,NA,3.750915751,-16.61,11.97015597,-15.17728895,8.66,NA,NA,NA,NA,NA,NA,NA,2010
8,NA,49.418,-0.624,VIId,English.Channel,58,NA,3.568544996,-16.79,8.673951787,-15.65019819,8.63,NA,NA,NA,NA,NA,NA,NA,2010
9,212,49.423,-0.348,VIId,English.Channel,52.86,29.02,4.24,-17.1,19.65846503,-15.00855825,8.88,22,0.7,11.8,11.7,0.3,34,20.2,2001
10,212,49.501,-0.416,VIId,English.Channel,55.97,40.12,4.17,-16.54,18.6487744,-14.53317777,8.09,39,2.1,12.7,12.9,0.4,34,23.2,2001
11,NA,49.557,-1.198,VIId,English.Channel,34,NA,3.092809365,-18.75,-1.336646159,-18.54120378,6.78,NA,NA,NA,NA,NA,NA,NA,2010
12,NA,49.557,-1.198,VIId,English.Channel,39,NA,3.050683829,-18.73,-2.338831034,-18.61801484,6.52,NA,NA,NA,NA,NA,NA,NA,2010
13,NA,49.557,-1.198,VIId,English.Channel,46,NA,3.240451389,-17.64,2.015403586,-17.1122742,7.51,NA,NA,NA,NA,NA,NA,NA,2010
14,213,49.577,-0.058,VIId,English.Channel,51.06,21.33,3.85,-17.21,13.6552342,-15.63002945,7.52,27,2.2,12.7,12.9,0.4,34,11.7,2001
15,211,49.59,-0.354,VIId,English.Channel,55.67,34.89,4.05,-16.85,16.85163351,-14.99518273,8.05,30,2.3,12.7,12.9,0.5,34.5,26,2001
16,213,49.613,0.071,VIId,English.Channel,55.71,28.86,4.43,-17.29,22.26573267,-14.98260551,7.02,36,2.4,12.8,12.8,0.2,34.3,8.3,2001
17,NA,49.614,0.071,VIId,English.Channel,47,NA,3.077835434,-17.54,-1.690459855,-17.36530451,8.11,NA,NA,NA,NA,NA,NA,NA,2010
