"","Station.ID..mine.","Sample.ID","Species","Haul_Lat","Haul_Long","Weight.g.","Diameter.cm.","dN15","X..Nitrogen","dC13","X..Carbon","CN","Region","d13CKcor","d13Cc"
"6","NS_2015_008","NJ27","LION",53.838,2.627,99.1,12,11.85,2.71,-20.31,8.58,3.7,"South_Nsea",-18.9560959418398,-19.3000959418398
"7","NS_2015_009","NJ42","LION",53.7885,3.4707,60.8,10.5,11.11,3,-20.33,9.43,3.67,"South_Nsea",-19.0235763481939,-19.1095763481939
"10","NS_2015_010","NJ54","LION",53.793,4.4852,41.5,7.5,13.95,2.37,-16.96,7.09,3.49,"South_Nsea",-15.9560040549731,-15.5260040549731
"11","NS_2015_010","NJ55","LION",53.793,4.4852,28.2,8,11.99,3.09,-19.65,10.1,3.82,"South_Nsea",-18.1137919645486,-17.7697919645485
"14","NS_2015_011","NJ65","LION",53.7475,5.33,62.3,9.5,13.57,3.99,-16.27,11.84,3.46,"South_Nsea",-15.319540534723,-15.233540534723
"15","NS_2015_012","NJ71","LION",54.7692,4.9033,125.6,11,13.78,1.86,-18.97,6.08,3.81,"South_Nsea",-17.4485359135086,-17.6205359135086
"18","NS_2015_013","NJ86","LION",54.619,5.5697,57.8,9,12.01,1.91,-19.27,5.95,3.63,"South_Nsea",-18.0281319490755,-17.8561319490755
"19","NS_2015_014","NJ90","LION",54.5662,6.3503,42.8,8.5,17.81,2.64,-18.16,8.73,3.85,"South_Nsea",-16.5800294498493,-16.3220294498493
"21","NS_2015_015","NJ99","LION",54.9267,7.0485,55.3,8.5,13.97,3.14,-17.57,9.64,3.59,"South_Nsea",-16.3941589995501,-16.1361589995501
"22","NS_2015_016","NJ104","LION",55.6442,7.1707,51.2,8.5,14.48,5.94,-15.8,17.46,3.43,"South_Nsea",-14.9040359429386,-14.6460359429386
"23","NS_2015_017","NJ105","LION",55.6727,6.7945,71.7,10,12.92,5.15,-18.42,16.35,3.7,"South_Nsea",-17.0660959418398,-17.0660959418398
"24","NS_2015_018","NJ111","LION",56.6045,6.9057,43.9,7,13.31,6.62,-17.44,20.72,3.66,"South_Nsea",-16.1495799975042,-15.6335799975042
"25","NS_2015_019","NJ117","LION",55.7315,5.2847,65.6,10,10.55,1.35,-20.71,4.38,3.77,"South_Nsea",-19.2483108894177,-19.2483108894177
"27","NS_2015_020","NJ122","LION",55.5087,4.5953,84,10,9.71,3.49,-19.1,10.4,3.47,"South_Nsea",-18.1315897511503,-18.1315897511503
"28","NS_2015_021","NJ125","LION",55.6012,3.709,70.5,8,8.29,1.78,-19.99,5.77,3.77,"South_Nsea",-18.5283108894177,-18.1843108894177
"29","NS_2015_022","NJ128","LION",55.7137,2.7853,61.7,9,7.92,4.51,-20.5,14.47,3.74,"South_Nsea",-19.0839996034178,-18.9119996034178
"30","NS_2015_023","NJ131","LION",54.5857,3.394,58,9,11.18,4.75,-18.88,14.38,3.53,"South_Nsea",-17.8060705088693,-17.6340705088693
"31","NS_2015_024","NJ137","LION",54.5107,2.7155,69.4,10,10.68,2.97,-19.29,9,3.54,"South_Nsea",-18.1988397893112,-18.1988397893112
"32","NS_2015_025","NJ140","LION",54.8128,1.2605,66.7,9,9.09,1.68,-19.65,5.4,3.76,"South_Nsea",-18.2034576861443,-18.0314576861443
"34","NS_2015_027","NJ147","LION",53.9332,1.2953,55.5,8,11.3,3.74,-19.62,12.03,3.75,"South_Nsea",-18.1886870319195,-17.8446870319195
"35","NS_2015_028","NJ150","LION",53.983,0.25,57.7,9,13.25,3.23,-16.93,9.85,3.56,"South_Nsea",-15.8046754512937,-15.6326754512937
"36","NS_2015_029","NJ153","LION",54.8925,-0.276,44.6,9,9.85,7.49,-18.77,24.28,3.78,"North_Nsea",-17.2932459723814,-17.1212459723814
"37","NS_2015_030","NJ156","LION",55.5797,-0.8045,68.8,10,10.76,3.68,-16.98,11.39,3.61,"North_Nsea",-15.7709584165997,-15.7709584165997
"38","NS_2015_031","NJ159","LION",55.8912,0.038,123.8,11,12.12,2.9,-17.11,8.87,3.57,"North_Nsea",-15.9677401301365,-16.1397401301365
"39","NS_2015_032","NJ162","LION",55.8267,1.2027,61.6,9,8.76,2.09,-18.84,6.61,3.69,"North_Nsea",-17.501835055231,-17.329835055231
"40","NS_2015_033","NJ165","LION",56.5155,-1.358,102.3,11,12.16,4.3,-15.33,13.3,3.61,"North_Nsea",-14.1209584165997,-14.2929584165997
"41","NS_2015_033","NJ166","LION",56.5155,-1.358,64,10,10.43,4.05,-16.89,12.81,3.69,"North_Nsea",-15.551835055231,-15.551835055231
"42","NS_2015_033","NJ167","LION",56.5155,-1.358,52.8,8,10.91,6.95,-16.58,21.01,3.53,"North_Nsea",-15.5060705088693,-15.1620705088693
"43","NS_2015_036","NJ176","LION",56.7715,0.3322,53.5,8,9.75,2.57,-18.02,7.85,3.57,"North_Nsea",-16.8777401301365,-16.5337401301365
"44","NS_2015_038","NJ185","LION",57.5307,0.4962,39.7,8,8.91,5.15,-17.6,16.97,3.85,"North_Nsea",-16.0200294498493,-15.6760294498493
"45","NS_2015_040","NJ193","LION",56.7602,1.4603,60.4,9.5,12.41,2.99,-14.63,8.81,3.44,"North_Nsea",-13.7157626736205,-13.6297626736205
